0.002684,-223.92,-666.7,625.1,-3.4435,-3.344,-4.8
0.61757,-453.88,-429.82,-0,0,0,-4.8
1.046,-150.02,109,-662.6,2.8214,3.8833,0
1.379,149.89,690.66,2108.6,-4.5072,-13.676,4.8
1.9605,-108.09,-673.3,-0,0,0,-4.1379
2.2084,4465.5,6255.1,7035.3,-8.2245,-103.12,37.241
2.0012,-1.2527,0.099907,480,-0.38161,-4.7848,0
2.2516,294.96,-23.524,-1333.5,0.76323,9.5696,0
2.5099,-33.564,2.6769,-959.41,0.76323,9.5696,0
2.7479,-839.6,2198.3,-3773.5,1.0399,41.366,12.414
2.9957,-1341.6,2330,-3185.1,-3.792,33.385,14.4
3.2759,-757.45,3192.8,-2459.9,-3.7561,13.901,19.2
3.5356,-4705.9,6853.6,-9480.7,-22.681,47.68,48
3.7973,-1845.2,3999.7,-7893.9,-6.3415,10.672,24.828
4.0434,-362.71,790.62,-1434.9,0,0,4.8
4.0013,673.47,-593.01,862.6,2.5889,-4.042,-4.8
4.2592,-257.04,859.74,863.63,2.572,-4.0528,4.8
4.5052,-425.66,-270.14,-656.3,-4.4344,6.9875,0
4.7584,-2961.5,-3509.5,-3121.6,-28.171,50.241,-9.6
5.006,-3698,-12128,1754.2,-18.785,59.505,-72
5.248,-5627.3,-13609,-315.13,0.22117,52.8,-110.4
5.5043,-5463.3,-13368,-134.16,1.6731,4.499,-120
5.7498,-7330,-8445.3,-1912.6,7.5879,9.8247,-91.034
6.0051,-771.76,-4507.7,81.363,-17.222,-17.884,-28.966
