102.36,101.94,102.39,101.95,101.94,101.55,102.34,102.39,101.96,102.34
1.2863,1.2811,1.2868,1.7084,1.2811,1.7016,1.2861,1.7157,0.85421,1.2861
190.21,190.22,191.04,190.63,190.22,191.06,189.79,191.04,190.63,189.79
1,1,1,1,1,1,1,1,1,1
