0.72,0.22,1.79,4.4735
0.72,0.22,1.79,4.4738
0.72,0.22,1.79,4.4743
0.72,0.22,1.79,4.4747
0.72,0.22,1.79,4.475
0.72,0.22,1.79,4.4753
0.72,0.22,1.79,4.4756
0.72,0.22,1.79,4.4758
0.72,0.22,1.79,4.4761
0.72,0.22,1.79,4.4764
0.72,0.22,1.79,4.4768
0.72,0.22,1.79,4.4772
0.72,0.22,1.79,4.4776
0.72,0.22,1.79,4.4778
0.72,0.22,1.79,4.4782
0.72,0.22,1.79,4.4785
0.72,0.22,1.79,4.4788
0.72,0.22,1.79,4.4791
0.72,0.22,1.79,4.4794
0.72,0.22,1.79,4.4796
0.72,0.22,1.79,4.4801
0.72,0.22,1.79,4.4811
0.72,0.22,1.79,4.4816
0.72,0.22,1.79,4.4821
0.72,0.22,1.79,4.4825
0.72,0.22,1.79,4.4828
0.72,0.22,1.79,4.4831
0.72,0.22,2.03,4.4834
0.72,0.22,2.03,4.4837
0.72,0.22,2.03,4.484
0.72,0.22,2.03,4.4843
0.72,0.22,2.03,4.4846
0.72,0.22,2.03,4.4849
0.72,0.22,2.03,4.4853
0.72,0.22,2.03,4.4857
0.72,0.22,2.03,4.486
0.72,0.22,2.03,4.4863
0.72,0.22,2.03,4.4866
0.72,0.22,2.03,4.4869
0.72,0.22,2.03,4.4872
0.72,0.22,2.03,4.4875
0.72,0.22,2.03,4.4878
0.72,0.22,2.03,4.488
0.72,0.22,2.03,4.4883
0.72,0.22,2.03,4.4886
0.72,0.22,2.03,4.4891
0.72,0.22,2.03,4.4895
0.72,0.22,2.03,4.4898
0.72,0.22,2.03,4.4901
0.72,0.22,2.03,4.4904
0.72,0.22,2.03,4.4907
0.72,0.22,2.03,4.491
0.72,0.22,2.03,4.4912
0.72,0.22,2.03,4.4915
0.72,0.22,2.03,4.4918
0.72,0.22,2.03,4.4921
0.72,0.22,2.03,4.4924
0.72,0.22,2.03,4.4927
0.72,0.22,2.03,4.4929
0.72,0.22,2.03,4.4933
0.72,0.22,2.03,4.4936
0.72,0.22,2.03,4.4939
0.72,0.22,2.03,4.4942
0.72,0.22,2.03,4.4945
0.72,0.22,2.03,4.4948
0.72,0.22,2.03,4.4951
0.72,0.22,2.03,4.4954
0.72,0.22,2.03,4.4958
0.72,0.22,2.03,4.4962
0.72,0.22,2.03,4.4965
0.72,0.22,2.03,4.4967
0.72,0.22,2.03,4.497
0.72,0.22,2.03,4.4975
0.72,0.22,2.03,4.4978
0.72,0.22,2.03,4.4982
0.72,0.22,2.03,4.4985
0.72,0.22,2.03,4.4988
0.72,0.22,2.03,4.4991
2.64,1.42,2.27,4.4994
2.64,1.42,2.27,4.4996
2.64,1.42,2.27,4.5
2.64,1.42,2.27,4.5003
2.64,1.42,2.27,4.5007
2.64,1.42,2.27,4.5009
2.64,1.42,2.27,4.5013
2.64,1.42,2.27,4.5017
2.64,1.42,2.27,4.5019
2.64,1.42,2.27,4.5022
2.64,1.42,2.27,4.5025
2.64,1.42,2.27,4.5028
2.64,1.42,2.27,4.5031
2.64,1.42,2.27,4.5035
2.64,1.42,2.27,4.5038
2.64,1.42,2.27,4.5041
2.64,1.42,2.27,4.5044
2.64,1.42,2.27,4.5046
2.64,1.42,2.27,4.5049
2.64,1.42,2.27,4.5053
2.64,1.42,2.27,4.5056
2.64,1.42,2.27,4.5059
2.64,1.42,2.27,4.5062
2.64,1.42,2.27,4.5066
2.64,1.42,2.27,4.5069
2.64,1.42,2.27,4.5072
2.64,1.42,2.27,4.5075
2.64,1.42,2.27,4.5078
2.64,1.42,2.27,4.5081
2.64,1.42,2.27,4.5084
2.64,1.42,2.27,4.5087
2.64,1.42,2.27,4.509
2.64,1.42,2.27,4.5093
2.64,1.42,2.27,4.5099
2.64,1.42,2.27,4.5102
2.64,1.42,2.27,4.5105
2.64,1.42,2.27,4.5108
2.64,1.42,2.27,4.5112
2.64,1.42,2.27,4.5115
2.64,1.42,2.27,4.5117
2.64,1.42,2.27,4.512
2.64,1.42,2.27,4.5123
2.64,1.42,2.27,4.5126
2.64,1.42,2.27,4.5129
2.64,1.42,2.27,4.5132
2.64,1.42,2.27,4.5136
2.64,1.42,2.27,4.5139
2.64,1.42,2.27,4.5142
2.64,1.42,2.27,4.5145
2.64,1.42,2.27,4.5148
2.64,1.42,2.27,4.5151
4.32,3.1,3.47,4.5154
4.32,3.1,3.47,4.5157
4.32,3.1,3.47,4.516
4.32,3.1,3.47,4.5163
4.32,3.1,3.47,4.5166
4.32,3.1,3.47,4.5169
4.32,3.1,3.47,4.5172
4.32,3.1,3.47,4.5175
4.32,3.1,3.47,4.5178
4.32,3.1,3.47,4.5181
4.32,3.1,3.47,4.5184
4.32,3.1,3.47,4.5187
4.32,3.1,3.47,4.519
4.32,3.1,3.47,4.5193
4.32,3.1,3.47,4.5196
4.32,3.1,3.47,4.5198
4.32,3.1,3.47,4.5201
4.32,3.1,3.47,4.5204
4.32,3.1,3.47,4.5207
4.32,3.1,3.47,4.521
4.32,3.1,3.47,4.5213
4.32,3.1,3.47,4.5217
4.32,3.1,3.47,4.5219
4.32,3.1,3.47,4.5222
4.32,3.1,3.47,4.5226
4.32,3.1,3.47,4.523
4.32,3.1,3.47,4.5233
4.32,3.1,3.47,4.5236
4.32,3.1,3.47,4.5239
4.32,3.1,3.47,4.5242
4.32,3.1,3.47,4.5245
4.32,3.1,3.47,4.5248
4.32,3.1,3.47,4.5252
4.32,3.1,3.47,4.5256
4.32,3.1,3.47,4.5259
4.32,3.1,3.47,4.5262
4.32,3.1,3.47,4.5265
4.32,3.1,3.47,4.5268
4.32,3.1,3.47,4.5271
4.32,3.1,3.47,4.5274
4.32,3.1,3.47,4.5277
4.32,3.1,3.47,4.528
4.32,3.1,3.47,4.5282
4.32,3.1,3.47,4.5285
4.32,3.1,3.47,4.5288
4.32,3.1,3.47,4.5292
4.32,3.1,3.47,4.5296
4.32,3.1,3.47,4.5298
4.32,3.1,3.47,4.5301
4.32,3.1,3.47,4.5304
4.32,3.1,3.47,4.5307
4.32,3.1,3.47,4.531
6.48,5.5,4.43,4.5313
6.48,5.5,4.43,4.5316
6.48,5.5,4.43,4.5318
6.48,5.5,4.43,4.5321
6.48,5.5,4.43,4.5324
6.48,5.5,4.43,4.5327
6.48,5.5,4.43,4.533
6.48,5.5,4.43,4.5334
6.48,5.5,4.43,4.5337
6.48,5.5,4.43,4.5341
6.48,5.5,4.43,4.5344
6.48,5.5,4.43,4.5347
6.48,5.5,4.43,4.535
6.48,5.5,4.43,4.5352
6.48,5.5,4.43,4.5355
6.48,5.5,4.43,4.5358
6.48,5.5,4.43,4.5361
6.48,5.5,4.43,4.5364
6.48,5.5,4.43,4.5367
6.48,5.5,4.43,4.5369
6.48,5.5,4.43,4.5374
6.48,5.5,4.43,4.5377
6.48,5.5,4.43,4.538
6.48,5.5,4.43,4.5383
6.48,5.5,4.43,4.5386
6.48,5.5,4.43,4.5389
6.48,5.5,4.43,4.5391
6.48,5.5,4.43,4.5394
6.48,5.5,4.43,4.54
6.48,5.5,4.43,4.5403
6.48,5.5,4.43,4.5406
6.48,5.5,4.43,4.5409
6.48,5.5,4.43,4.5413
6.48,5.5,4.43,4.5416
6.48,5.5,4.43,4.5419
6.48,5.5,4.43,4.5422
